Section,Description,Punishment,Bailable/Non-Bailable
IPC_109,it addresses situations where a person abets the commission of an offense and the act abetted is committed as a direct consequence of the abetment ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Bailable/Non-Bailable
IPC_110,it pertains to situations where a public servant abets the commission of an offense ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Bailable/Non-Bailable
IPC_111,it deals with situations where a person abets the commission of an offense punishable with death or life imprisonment ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Bailable/Non-Bailable
IPC_112,it deals with situations where a person abets the commission of an offense punishable with imprisonment ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Bailable/Non-Bailable
IPC_113,it addresses situations where a person abets the commission of an offense for which no specific punishment is provided in the indian penal code ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Bailable/Non-Bailable
IPC_114,it deals with situations where a person abets the commission of an offense and is present at the scene when the offense is committed ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Bailable/Non-Bailable
IPC_115,it deals with situations where a person abets the commission of an offense punishable with death or imprisonment for life but the offense is not actually committed ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Non-Bailable
IPC_116,it addresses situations where a person abets the commission of an offense punishable with imprisonment but the offense is not actually committed ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Bailable/Non-Bailable
IPC_117,it addresses situations where a person abets the commission of an offense by the public or by more than ten persons ,it is the same as if the act abetted had been committed in consequence and no express provision is made for its punishment ,Bailable/Non-Bailable
IPC_118,it addresses situations where a person conceals their intention or plan to commit an offense punishable with imprisonment ,it is the same as if the offense had been committed ,Non-Bailable
IPC_119,it deals with situations where a public servant conceals their intention or plan to commit an offense which it is their duty to prevent ,it is the same as if the offense had been committed ,Bailable
IPC_120,it addresses situations where a person conceals their intention or plan to commit an offense punishable with death or imprisonment for life ,it is the same as if the offense had been committed ,Bailable/Non-Bailable
IPC_120A,it addresses situations where two or more persons agree to commit an illegal act or to accomplish a legal act by illegal means ,it varies depending on the offense agreed to be committed in cases where no specific punishment is provided the conspirators can be punished with imprisonment for up to six months or with a fine or with both ,Bailable/Non-Bailable
IPC_120B,it addresses the punishment for criminal conspiracy which occurs when two or more persons agree to commit an illegal act or to accomplish a legal act by illegal means ,it varies depending on the offense agreed to be committed in cases where no specific punishment is provided the conspirators can be punished with imprisonment for up to six months or with a fine or with both ,Non-Bailable
IPC_121,it deals with acts of waging war against the government of india or attempting to do so as well as abetting such acts ,imprisonment for life or imprisonment for a term which may extend to ten years and shall also be liable to fine ,Non-Bailable
IPC_121A,it deals with conspiracy to commit offenses punishable under section 121 which involves waging war against the government of india ,imprisonment for life or for a term which may extend to ten years and shall also be liable to fine ,Non-Bailable
IPC_122,it deals with the act of collecting arms or other weapons with the intention of waging war against the government of india ,imprisonment for life or for a term which may extend to ten years and shall also be liable to fine ,Non-Bailable
IPC_123,it addresses situations where individuals conceal information or objects with the intention of facilitating a plan to wage war against the government of india ,imprisonment for life or for a term which may extend to ten years and shall also be liable to fine ,Non-Bailable
IPC_124,it addresses situations where individuals assault or use force against the president of india governor of a state or other officials with the intent to compel or restrain them from exercising their lawful powers ,imprisonment for life or for a term which may extend to ten years and shall also be liable to fine ,Non-Bailable
IPC_124A,it addresses acts of sedition which involve any action speech or writing intended to incite hatred or contempt towards the government established by law in india or to provoke violence or public disorder ,imprisonment for life to which fine may be added or imprisonment which may extend to three years to which fine may be added or with fine ,Non-Bailable
IPC_125,it addresses situations where individuals engage in acts of war against any asiatic power that is in alliance with the government of india ,imprisonment for life or for a term which may extend to ten years and shall also be liable to fine ,Non-Bailable
IPC_126,it deals with acts of depredation which involve plundering or looting the territories of a country that is at peace with the government of india ,imprisonment for life or for a term which may extend to ten years and shall also be liable to fine ,Non-Bailable
IPC_127,it addresses instances where individuals aid or encourage the desertion of soldiers sailors or airmen from their duty ,imprisonment for a term which may extend to two years or with fine or with both ,Non-Bailable
IPC_128,it pertains to situations where a public servant such as a prison guard or a government official knowingly and voluntarily allows a prisoner of the state or a prisoner of war to escape from custody ,imprisonment for a term which may extend to three years or with fine or with both ,Non-Bailable
IPC_129,it addresses situations where individuals aid instigate or encourage an officer soldier sailor or airman to assault their superior officer while the latter is executing their official duties ,imprisonment for a term which may extend to three years or with fine or with both ,Bailable
IPC_130,it deals with situations where individuals aid in the escape rescue or harbor prisoners who are lawfully detained or in custody ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,Non-Bailable
IPC_131,it addresses instances where individuals aid encourage or attempt to seduce a soldier sailor or airman to commit mutiny or to abandon their allegiance and duty to the state ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,Non-Bailable
IPC_132,it addresses situations where individuals aid instigate or encourage others to commit mutiny within the armed forces and if mutiny is indeed committed as a result of such abetment ,it is the same as if he had committed mutiny and shall also be liable to fine ,Non-Bailable
IPC_133,it deals with situations where individuals by instigation cause mutiny or sedition among the military or naval forces leading to the use of criminal force against superior officers ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,Non-Bailable
